t,x,y,theta,v,a_cmd,delta_cmd
1.200000000000000178e+00,3.470171356201171875e+01,6.122069168090820312e+01,-1.355821266770362854e-02,8.275478363037109375e+00,8.519852960609161086e-01,-4.999998871651915588e-01
1.300000000000000044e+00,3.553350067138671875e+01,6.120284652709960938e+01,-2.145129814743995667e-02,8.319787979125976562e+00,1.240093314697474358e-01,-4.999999964871252311e-01
1.400000000000000133e+00,3.636799621582031250e+01,6.117129516601562500e+01,-3.779060393571853638e-02,8.350918769836425781e+00,-1.061927397695366482e+00,-4.999615948154411682e-01
1.500000000000000000e+00,3.720113754272460938e+01,6.111902236938476562e+01,-6.265766173601150513e-02,8.347804069519042969e+00,-1.361318415983603147e+00,4.996083459302447238e-01
1.600000000000000089e+00,3.802969360351562500e+01,6.105349731445312500e+01,-7.892018556594848633e-02,8.311417579650878906e+00,1.129721294726567571e+00,5.000000000000000000e-01
1.700000000000000178e+00,3.885640716552734375e+01,6.098156356811523438e+01,-8.679277449846267700e-02,8.298370361328125000e+00,1.087277647204661468e+00,4.999996103847821338e-01
1.800000000000000044e+00,3.968362045288085938e+01,6.090994644165039062e+01,-8.635885268449783325e-02,8.303081512451171875e+00,4.156755964673838344e-01,-3.524130548629947901e-01
1.900000000000000133e+00,4.051078414916992188e+01,6.083176040649414062e+01,-9.424144029617309570e-02,8.308506011962890625e+00,8.909852498654786956e-02,4.863888935419906079e-01
2.000000000000000000e+00,4.133792877197265625e+01,6.075394058227539062e+01,-9.380704909563064575e-02,8.307963371276855469e+00,3.638797970663501524e-01,4.997580922696176486e-01
2.100000000000000089e+00,4.216574096679687500e+01,6.068336105346679688e+01,-8.505278825759887695e-02,8.308162689208984375e+00,6.286017329995768899e-01,-4.999957408221321620e-01
2.200000000000000178e+00,4.299419021606445312e+01,6.061309051513671875e+01,-8.461839705705642700e-02,8.314247131347656250e+00,-1.264611251525996849e+00,4.999961443087043156e-01
2.300000000000000266e+00,4.382051849365234375e+01,6.055026245117187500e+01,-7.588607817888259888e-02,8.287151336669921875e+00,1.500000000000000000e+00,1.620509634109199015e-01
2.400000000000000355e+00,4.464797973632812500e+01,6.050156021118164062e+01,-5.878812447190284729e-02,8.288931846618652344e+00,2.608876403252338161e-01,-5.000000000000000000e-01
2.500000000000000000e+00,4.547583389282226562e+01,6.046008682250976562e+01,-5.005485191941261292e-02,8.288936614990234375e+00,7.391716966487400509e-01,-3.037827498606021637e-01
